"matrix","time","row","col","value","sd","conf.low","conf.high","dates"
"beta",1970-01-02,0,0,1.6770087312082,0.0178983126190752,1.64192868309077,1.71208877932562,2021-12-15
"report_prob",1970-01-02,0,0,1,0,1,1,2021-12-15
"serop",1970-01-02,0,0,0.000318047932868055,1.05060456267312e-05,0.000297456461819727,0.000338639403916383,2021-12-15
"cases",1970-01-02,0,0,74.4095957076915,3.37887977371255,67.787113043124,81.0320783722589,2021-12-15
"beta",1970-01-03,0,0,1.58537936169883,0.0140841212572794,1.55777499128066,1.61298373211699,2021-12-16
"report_prob",1970-01-03,0,0,1,0,1,1,2021-12-16
"serop",1970-01-03,0,0,0.000405304297722776,1.41458426000232e-05,0.000377578955695758,0.000433029639749794,2021-12-16
"cases",1970-01-03,0,0,92.9513422644079,4.345057224477,84.4351865936674,101.467497935148,2021-12-16
"beta",1970-01-04,0,0,1.49545664244134,0.010581774333372,1.4747167458554,1.51619653902728,2021-12-17
"report_prob",1970-01-04,0,0,1,0,1,1,2021-12-17
"serop",1970-01-04,0,0,0.000516088451448908,1.89779683616737e-05,0.000478892316960287,0.000553284585937529,2021-12-17
"cases",1970-01-04,0,0,114.726362560334,5.47233900061112,104.000775207942,125.451949912725,2021-12-17
"beta",1970-01-05,0,0,1.40774028898697,0.00743995336721699,1.39315824834056,1.42232232963337,2021-12-18
"report_prob",1970-01-05,0,0,1,0,1,1,2021-12-18
"serop",1970-01-05,0,0,0.000655605886941127,2.5288207254134e-05,0.000606041911489439,0.000705169862392814,2021-12-18
"cases",1970-01-05,0,0,140.026574052864,6.76416198813548,126.769060170524,153.284087935205,2021-12-18
"beta",1970-01-06,0,0,1.32266553693467,0.00476773551339135,1.31332094704061,1.33201012682872,2021-12-19
"report_prob",1970-01-06,0,0,1,0,1,1,2021-12-19
"serop",1970-01-06,0,0,0.000829555252266551,3.33774009072394e-05,0.000764136748590807,0.000894973755942295,2021-12-19
"cases",1970-01-06,0,0,169.032216782252,8.21196276159973,152.937065527132,185.127368037371,2021-12-19
"beta",1970-01-07,0,0,1.24060098777785,0.00294397538683719,1.23483090204828,1.24637107350742,2021-12-20
"report_prob",1970-01-07,0,0,1,0,1,1,2021-12-20
"serop",1970-01-07,0,0,0.00104415330584379,4.35575802949499e-05,0.000958782017211975,0.0011295245944756,2021-12-20
"cases",1970-01-07,0,0,201.818102817132,9.79634623389092,182.617617018621,221.018588615643,2021-12-20
"beta",1970-01-08,0,0,1.16184827908778,0.00286996708476163,1.15622324696483,1.16747331121073,2021-12-21
"report_prob",1970-01-08,0,0,1,0,1,1,2021-12-21
"serop",1970-01-08,0,0,0.00130606805719067,5.61405877168475e-05,0.00119603452719473,0.0014161015871866,2021-12-21
"cases",1970-01-08,0,0,238.344868503916,11.4873244288341,215.830126344673,260.859610663158,2021-12-21
"beta",1970-01-09,0,0,1.08664340464825,0.00414242056216963,1.07852440953758,1.09476239975892,2021-12-22
"report_prob",1970-01-09,0,0,1,0,1,1,2021-12-22
"serop",1970-01-09,0,0,0.00162229657365509,7.14226724469065e-05,0.00148231070797956,0.00176228243933063,2021-12-22
"cases",1970-01-09,0,0,278.449716501978,13.2449596844042,252.490072543861,304.409360460095,2021-12-22
"beta",1970-01-10,0,0,1.01515946503797,0.00564424464375103,1.00409694881629,1.02622198125966,2021-12-23
"report_prob",1970-01-10,0,0,1,0,1,1,2021-12-23
"serop",1970-01-10,0,0,0.0020000005256302,8.96666733977384e-05,0.00182425707515711,0.00217574397610328,2021-12-23
"cases",1970-01-10,0,0,321.84185995523,15.020781363428,292.40166946326,351.282050447199,2021-12-23
"beta",1970-01-11,0,0,0.947510599664121,0.00703283195839947,0.933726502316336,0.961294697011906,2021-12-24
"report_prob",1970-01-11,0,0,1,0,1,1,2021-12-24
"serop",1970-01-11,0,0,0.00244630794376005,0.000111083160722465,0.00222858894945514,0.00266402693806495,2021-12-24
"cases",1970-01-11,0,0,368.104770314369,16.7600151042331,335.255744329725,400.953796299013,2021-12-24
"beta",1970-01-12,0,0,0.883756837059025,0.00823242484923781,0.867621580849087,0.899892093268964,2021-12-25
"report_prob",1970-01-12,0,0,1,0,1,1,2021-12-25
"serop",1970-01-12,0,0,0.00296809041084647,0.000135812010982109,0.00270190376065358,0.00323427706103937,2021-12-25
